reader_order,claim_id,section,paragraph_sha256,paragraph_text,evidence_artifact,evidence_sha256,scientific_status,permitted_wording,prohibited_extrapolation,verified_reference_ids
30,SCALE-P02,3.2 Componentwise scaling and disorder sensitivity,66b1153368e09f1539b5bc2d734705caf2748bdc55497618f2307bc1a2fa3df2,Density rate passed the refinement and spectral gates in both regular and tested jittered configurations. It therefore retained systematic scaling at the canonical support ratio across the complete qualified scaling scope. This component supplied the only primary dynamic example whose scaling qualification survived the tested disorder perturbation.,06_manifests/ddo01cr_manifest.json,44bc51a9835be9c3bd9cd2732a9f1b9aee28cbc98cb2ca3931b83ad70f584fef,FROZEN_H2_PASS,Restrict density-rate scaling to the frozen F1 and canonical-support scope.,"Do not extrapolate to all disorder types, support ratios, boundaries, or H3 identifiability.",
31,SCALE-P03,3.2 Componentwise scaling and disorder sensitivity,f1ab7937a7a1edfb0a4fcce3b21da2d0ddcaf2dc15e26274f2d304476ea8f848,Pressure-gradient acceleration and viscosity-Laplacian acceleration passed both regular-track gates but did not satisfy the jittered refinement requirement. Their formal scaling scope was therefore restricted to regular configurations. Derived total acceleration had the same regular-only status and was not used to replace either primary component. The combined result established component- and disorder-dependent scaling rather than a shared order across operators.,06_manifests/ddo01cr_manifest.json,44bc51a9835be9c3bd9cd2732a9f1b9aee28cbc98cb2ca3931b83ad70f584fef,FROZEN_H2_REGULAR_ONLY,"Use regular-scope-only wording for pressure, viscosity, and total acceleration.",Do not claim disorder-robust momentum scaling or a common component exponent.,
32,SCALE-P04,3.2 Componentwise scaling and disorder sensitivity,444ff2891a76e1b3cd907cd61dab573ef0a3e7cb25b18e1e3008de7c53e8285b,Interpolation density did not satisfy either regular or jittered scaling qualification and remained an algebraic diagnostic. Its signal was nevertheless strongly resolved above numerical uncertainty. This contrast provides the clearest example that resolvability alone does not establish systematic scaling. It also shows why signal and scaling require separate evidence.,06_manifests/ddo01cr_manifest.json;publication/final_hypothesis_ledger.csv,44bc51a9835be9c3bd9cd2732a9f1b9aee28cbc98cb2ca3931b83ad70f584fef;694841a5ff154ebaefa39207a526739eee619a8db6fb53d02447b92d92ba0743,FROZEN_H2_FAIL_DIAGNOSTIC,State interpolation H2 failure and the componentwise H2 conclusion.,Do not infer that interpolation H2 failure forces H3 failure in another component.,
33,ID-P03,3.3 Initial observable-identifiability assessment,f3b269de9d535dd60c409f656b1cd2cbc0b944a3b1cbb67df73f538ee626274d,"At the formal initial representation, all three primary dynamic mappings failed at least one preregistered identifiability criterion. Density rate had a disagreement 90th percentile of 2.653 and an oracle normalized root-mean-square error of 0.463. Pressure-gradient acceleration had a disagreement 90th percentile of 3.665, a conditional-variance upper bound of 1.399, and an oracle error of 1.044. Viscosity-Laplacian acceleration had a disagreement 90th percentile of 10.696 and an oracle error of 1.049. Passing individual diagnostics did not override a failed all-gates decision.",data/identifiability/ddo01e_metrics.json;data/identifiability/ddo01e_formal_verdicts.json,871108e9619b5c5405b8895ed0e82dd22ba08bf9c2104ca04d382aa0e8df9feb;478e51ea8a9b407a0181c9bb7789590a76e7dc8b6aa3301beb5084e8dbd1dd0e,FROZEN_INITIAL_H3_FAIL,Report the componentwise all-gates verdict.,Do not recompute a favorable replacement score or describe H3 failure as fundamental unlearnability.,
34,ID-P04,3.3 Initial observable-identifiability assessment,4294de783883b3b6ccd8154f1186972b61ee9f3f6fb3ad7b15ded46d7ad1b6db,"Formal feature-space coverage was 0.9526, exceeding the minimum of 0.90. Inadequate sampling of nearby feature points was therefore not sufficient to explain the initial outcome. Instead, the component-specific combination of disagreement tails, conditional variance, oracle error, and family sensitivity was consistent with conditional ambiguity under the tested observables.",data/identifiability/ddo01e_metrics.json;publication/failure_taxonomy.md,871108e9619b5c5405b8895ed0e82dd22ba08bf9c2104ca04d382aa0e8df9feb;0af5609d7ee6603f001e0260ea70959394096ff81d4b051a5f081d02b991a69f,FROZEN_FAILURE_ATTRIBUTION_BOUNDARY,State that coverage passed but did not remove conditional ambiguity.,Do not claim that coverage proves deployment generalization or that one ambiguity metric alone proves impossibility.,
35,ID-P05,3.4 Failure attribution and prospective redesign,65ab5aa4efc0e4585109babd13dde4e9b46599d5e2dde2ca4e261229d2261e50,"Within matched disorder blocks, adding simple consistency descriptors did not uniformly reduce pressure or viscosity ambiguity. The pressure conditional-variance diagnostic increased from 0.093 to 0.260 in the regular stratum and changed negligibly across the tested jitter strata. Viscosity showed the same absence of a uniform rescue. A post-verdict target singular-value decomposition was retained only as an empirical covariance diagnostic and was not interpreted as a low-dimensional physical manifold.",07_reports/ddo01e_descriptor_ablation_report.md;data/identifiability/ddo01e_target_subspace_diagnostic.json,750e84a502035f35cf0b9ee67390be92b2863b9def8b28950ab839cf9e85ae62;e2a06889a503390a47e3e19b7164ad09135dd9575cc643d32a508bf55a381d58,FROZEN_DIAGNOSTIC_BOUNDARY,Report no uniform consistency rescue and preserve the SVD diagnostic label.,Do not claim a two-dimensional target manifold or use target coordinates as inputs.,
36,REDESIGN-P01,3.4 Failure attribution and prospective redesign,c845b3b9daa50cb210852ac29f163231a5381bcfdca512c17b2550ce0ff6d36b,"Attribution on consumed development evidence supported two hypotheses for a fresh test: observable-defined directional augmentation and component-specific feature combinations. Their best disagreement-tail reductions were 10.49% and 20.95%, respectively. Higher-order particle moments and higher-derivative proxies produced smaller diagnostic reductions of 5.63% and 6.43% and remained inconclusive. None of these consumed-evidence results constituted a renewed identifiability assessment.",data/ddo02a/attribution_metrics.json,f2dca85e6c0e1db38aed3f32eca90a12375bc60af21a8dd544acc07b2d4c1a10,FROZEN_CONSUMED_ATTRIBUTION,Use the diagnostic statuses only to motivate prospective testing.,Do not present DDO-02A reductions as a new H3 PASS.,
37,REQUAL-P02,3.5 Fresh identifiability requalification,a01c103c399a3795e3f8d4c9b3867a0f1a4bd067977117e9922079089ee23a4f,"Density rate did not satisfy the fresh criteria after observable expansion. Its disagreement median was 0.001276, but the 90th percentile was 8.202, above the limit of 0.60. The conditional-variance upper bound was 0.1489, while the best fixed-oracle normalized root-mean-square error was 0.5481, above the limit of 0.50. Thus, favourable median and variance diagnostics did not offset the failed tail and oracle criteria. This outcome followed prior signal qualification and scaling qualification in both regular and tested-disorder scopes.",data/ddo02b_identifiability/ddo02b_metrics.json;data/ddo02b_identifiability/ddo02b_formal_verdicts.json,551dc207bb23d22271f66d76df4fc65c08aa8649e366183ddc2db23072d2d582;6cbedb7c46bc4c3b622ef2601ee4631b9763976bb98dd414fc9dd6d33c88d87c,FROZEN_FRESH_H3_FAIL,Report the exact density-rate failure metrics and distinguish H1/H2 from H3.,Do not use H1/H2 PASS to repair the H3 verdict.,
38,REQUAL-P03,3.5 Fresh identifiability requalification,c3c92afd91dfc4583c5db4127d433b3b9b8c6fb514b049a318edd63da798c640,"Pressure-gradient acceleration also failed the fresh all-gates decision. Its disagreement median was 0.0008044, but the 90th percentile reached 45.54. The conditional-variance upper bound was 1.070, and the best-oracle normalized root-mean-square error was 1.010. These values exceeded the respective limits of 0.60, 0.35, and 0.50. The result concerns the tested component, cases, and expanded observable representation.",data/ddo02b_identifiability/ddo02b_metrics.json;data/ddo02b_identifiability/ddo02b_formal_verdicts.json,551dc207bb23d22271f66d76df4fc65c08aa8649e366183ddc2db23072d2d582;6cbedb7c46bc4c3b622ef2601ee4631b9763976bb98dd414fc9dd6d33c88d87c,FROZEN_FRESH_H3_FAIL,Report the exact pressure metrics and component verdict.,"Do not attribute the failure to a single descriptor, disorder variable, or architecture.",
39,REQUAL-P04,3.5 Fresh identifiability requalification,bbde422eae4790387fd2ed58b48f1dbf8c0898e8592e6e26a6a756a527a4bf33,"Viscosity-Laplacian acceleration failed several fresh criteria. Its disagreement median was 0.2773, slightly above the limit of 0.25, while its 90th percentile was 26.88. The conditional-variance upper bound was 0.4042, and the best-oracle normalized root-mean-square error was 1.049. Each value exceeded its corresponding limit. The outcome does not extend to every viscosity discretization or possible observable representation.",data/ddo02b_identifiability/ddo02b_metrics.json;data/ddo02b_identifiability/ddo02b_formal_verdicts.json,551dc207bb23d22271f66d76df4fc65c08aa8649e366183ddc2db23072d2d582;6cbedb7c46bc4c3b622ef2601ee4631b9763976bb98dd414fc9dd6d33c88d87c,FROZEN_FRESH_H3_FAIL,Report the exact viscosity metrics and fresh verdict.,Do not generalize to every viscosity discretization or every observable representation.,
40,REQUAL-P05,3.5 Fresh identifiability requalification,93cb92a31225e950b042362cf2b0804ca0593c8e38ac28c86436a6ad107ef766,"The observable-defined directional-frame fallback was triggered in exactly 515,904 of 627,264 particle environments, or 82.246710%. This frequency documents degeneracy of the tested frame construction rather than failure of equivariance or graph learning. Because none of the three primary mappings satisfied the fresh identifiability criteria, locality was not interpreted. No representation-learning stage or neural correction was initiated, and the tested instantaneous online route was not supported.",data/ddo02b_identifiability/ddo02b_observable_feature_schema.json;data/ddo02b_identifiability/ddo02b_formal_verdicts.json;06_manifests/ddo02z_final_status_ledger.json,3abde8010d1eb99112af74406fffab164ecaa20aa8ba4df3e3c8d907440c28d5;6cbedb7c46bc4c3b622ef2601ee4631b9763976bb98dd414fc9dd6d33c88d87c;0f7c74b44575a3f744f31b1d2c7347d462dbfdfb381f47b0fb54087daddce54a,FROZEN_FRESH_LIMITATION_AND_CLOSURE,Report the exact fallback numerator/denominator and route-specific closure.,Do not claim that all equivariant representations fail or that H4/H5 failed.,
41,DISC-P01,4. Discussion,7ea2556302e8b0380784365c2d487cf7a5ce66e4a166d9b8020edc6cec6110c4,"The results first separate resolvability from scaling. Every evaluated component was far above the qualified uncertainty floor, but interpolation density did not satisfy the regular or jittered scaling criteria. A numerically visible defect therefore need not vary systematically along the tested discretization tracks. Conversely, the scaling evidence for the other components remained limited to their stated operator and disorder scopes. Signal qualification cannot substitute for scaling qualification, and neither addresses the deployment-observable mapping.",06_manifests/ddo01br_manifest.json;06_manifests/ddo01cr_manifest.json;data/identifiability/ddo01e_formal_verdicts.json;data/ddo02b_identifiability/ddo02b_formal_verdicts.json,9dee9a6e1894e8c1745749b159915f7adc5a422c7b612f447188ee0c01e9a875;44bc51a9835be9c3bd9cd2732a9f1b9aee28cbc98cb2ca3931b83ad70f584fef;478e51ea8a9b407a0181c9bb7789590a76e7dc8b6aa3301beb5084e8dbd1dd0e;6cbedb7c46bc4c3b622ef2601ee4631b9763976bb98dd414fc9dd6d33c88d87c,FROZEN_CROSS_STAGE_SYNTHESIS,Use the core manuscript statement within the tested scope.,Do not state a universal theorem for SPH defects or inverse problems.,
42,DISC-P03,4. Discussion,c065efa5fd322f50f64bf415b09120d2cb0ba14b6762a8a56c88c4ec119f402a,"The second separation is between scaling and identifiability. Density rate provides the clearest counterexample because it passed signal qualification and retained systematic scaling in regular and tested-disorder configurations. It nevertheless failed fresh identifiability through its disagreement tail and oracle error. Pressure and viscosity exhibited different patterns, with regular-only scaling and distinct conditional-ambiguity signatures. The componentwise contrast rules out a single total-acceleration or descriptor-expansion summary as a substitute for independent qualification.",06_manifests/ddo01cr_manifest.json;07_reports/ddo01e_disorder_mechanism_report.md;data/ddo02b_identifiability/ddo02b_metrics.json,44bc51a9835be9c3bd9cd2732a9f1b9aee28cbc98cb2ca3931b83ad70f584fef;42c5c0dace911df53b3c03ff8c4c446bcd4c8d016dd85039b45b860ead67bf3a;551dc207bb23d22271f66d76df4fc65c08aa8649e366183ddc2db23072d2d582,FROZEN_COMPONENTWISE_SYNTHESIS,Compare component scopes without changing their separate verdicts.,Do not impose a shared mechanism or scaling exponent across components.,
43,DISC-P02,4. Discussion,5cff76ee7d17765301da589229c880fbe95d4c22c531a088282dd4206100f0ec,"The third separation is between feature-space coverage and conditional identifiability. Coverage exceeded the preregistered minimum in both assessment cycles, reaching 0.9526 initially and 0.9358 after redesign. Nearby feature points were therefore available, yet their targets retained heavy disagreement tails, component-dependent conditional variance, weak oracle performance, and family sensitivity. These observations support conditional ambiguity for the tested observables, but they do not establish an architecture-independent impossibility theorem (Bellman and Åström, 1970; Stuart, 2010).",data/identifiability/ddo01e_metrics.json;data/ddo02b_identifiability/ddo02b_metrics.json;publication/failure_taxonomy.md;publication/literature/citation_claim_map.csv,871108e9619b5c5405b8895ed0e82dd22ba08bf9c2104ca04d382aa0e8df9feb;551dc207bb23d22271f66d76df4fc65c08aa8649e366183ddc2db23072d2d582;0af5609d7ee6603f001e0260ea70959394096ff81d4b051a5f081d02b991a69f;ee11699c64ce05fe80719f01baf494d672d892f8b45dbe5c107fe3e769ce388c,FROZEN_INTERPRETATION_WITH_VERIFIED_EXTERNAL_CONTEXT,Describe ambiguity as supported by the frozen diagnostics.,Do not claim an architecture-independent impossibility result.,R08;R09
44,DISC-P04,4. Discussion,3b83345db72be9f3ac3273f60d681002ea2c54386d96d5c4efc15b962011301f,"Prospective separation between diagnosis and requalification strengthens the interpretation of the redesign. Directional and component-specific hypotheses were selected using consumed evidence, fixed before new targets, and evaluated on lineages with zero overlap. The frequent frame fallback limits that observable-defined directional construction. It does not imply failure of rotational equivariance, graph neural networks, or temporal representations. Those alternatives were not tested (Satorras et al., 2021).",data/ddo02a/attribution_metrics.json;06_manifests/ca06_manifest.json;06_manifests/ddo02b_case_registry.json;data/ddo02b_identifiability/ddo02b_observable_feature_schema.json;publication/literature/citation_claim_map.csv,f2dca85e6c0e1db38aed3f32eca90a12375bc60af21a8dd544acc07b2d4c1a10;9b238af878ae9a8bb64166631abd99e30ca2c5d66d3535781085de86953f033f;5588bcc92c0db124481187c17c1e313ef308cddfc75968f152107a4abb1264b4;3abde8010d1eb99112af74406fffab164ecaa20aa8ba4df3e3c8d907440c28d5;ee11699c64ce05fe80719f01baf494d672d892f8b45dbe5c107fe3e769ce388c,FROZEN_REDESIGN_INTERPRETATION_WITH_VERIFIED_EXTERNAL_CONTEXT,Emphasize prospective separation and the construction-specific limitation.,Do not claim that equivariant GNNs or temporal observables cannot help.,R10
45,DISC-P05,4. Discussion,29bfa0cc28145d55ef200ae369983c2586a4fa77ec7a91da57532309282ed1d9,"Existing work has already demonstrated learned discretizations, coarse-grid error correction, SPH residual correction, and differentiable SPH workflows. It has also identified non-uniqueness concerns and post-training correction failures (Duraisamy, 2021; Kiener et al., 2023; Qarariyah et al., 2025; Winchenbach and Thuerey, 2026; Katz and John, 2026). The contribution here is the upstream ordering of evidence. Once the tested input-target relation failed its prerequisite, architecture search could not answer the missing-information question. No neural training, optimization, time integration, rollout, or solver-in-loop evaluation was therefore justified (Ioannidis, 2022; Sandve et al., 2013).",06_manifests/ddo02z_final_status_ledger.json;publication/literature/citation_claim_map.csv;publication/literature/verified_reference_register.csv;publication/literature/novelty_stress_test.md,0f7c74b44575a3f744f31b1d2c7347d462dbfdfb381f47b0fb54087daddce54a;ee11699c64ce05fe80719f01baf494d672d892f8b45dbe5c107fe3e769ce388c;6d33739d36d1ef7d27d2c9c375d8478eacf6fabf72c1a09cf53b832281589cb2;e3411f08de11b7e0fc2fc2a30be92299c11dc6f16db0d241f7da11bb34cdc49c,FROZEN_GOVERNANCE_INTERPRETATION_WITH_VERIFIED_EXTERNAL_CONTEXT_WITH_VERIFIED_LITERATURE_POSITIONING,State the project-specific value of prospective gating and closure.,Do not claim that this exact hierarchy is the only valid workflow for computational science.,R07;R11;R12;R15;R16;R17;R18
46,DISC-P06,4. Discussion,c480a2a12787fb8b2e27abeb55dd5006c633c978aeed091b56799b7e89708903,"These findings are restricted to fixed-time, two-dimensional, periodic manufactured fields, the frozen SPH operators, and the tested instantaneous observables. Boundary information, temporal history, latent state, alternative sensors, learned representations, dynamic integration, and solver feedback were not evaluated. The diagnostic oracles were deliberately simple and non-neural. The target singular-value decomposition described covariance only, and high-resolution SPH was not used as truth. Consequently, the result is route-specific and cannot be generalized to all SPH defects or correction strategies.",00_project_contract/ddo_project_charter.md;data/identifiability/ddo01e_target_subspace_diagnostic.json;06_manifests/ddo02z_final_status_ledger.json,73695788de6a093db17dd016ef67906098a3cef40dc2b8bf96a68058f41c2db6;e2a06889a503390a47e3e19b7164ad09135dd9575cc643d32a508bf55a381d58;0f7c74b44575a3f744f31b1d2c7347d462dbfdfb381f47b0fb54087daddce54a,FROZEN_LIMITATION,List the untested domains and preserve the reference/subspace boundaries.,Do not infer that temporal information cannot help or that the target manifold is two-dimensional.,
47,CONC-P01,5. Conclusions,d89f7ab502b395b69eb60215a7547d6118471d0e1ab63189762f4debcf677f54,"Five conclusions follow from the qualified evidence. First, the analytical fixed-time SPH defect was numerically qualified and resolved above float64 uncertainty for all five components. Second, scaling was component- and disorder-dependent: density rate qualified in regular and tested-disorder scopes, pressure and viscosity qualified only in the regular scope, and interpolation density did not qualify.",06_manifests/ddo01br_manifest.json;06_manifests/ddo01cr_manifest.json;data/identifiability/ddo01e_formal_verdicts.json;06_manifests/ddo02b_case_registry.json;data/ddo02b_identifiability/ddo02b_formal_verdicts.json,9dee9a6e1894e8c1745749b159915f7adc5a422c7b612f447188ee0c01e9a875;44bc51a9835be9c3bd9cd2732a9f1b9aee28cbc98cb2ca3931b83ad70f584fef;478e51ea8a9b407a0181c9bb7789590a76e7dc8b6aa3301beb5084e8dbd1dd0e;5588bcc92c0db124481187c17c1e313ef308cddfc75968f152107a4abb1264b4;6cbedb7c46bc4c3b622ef2601ee4631b9763976bb98dd414fc9dd6d33c88d87c,FROZEN_FINAL_SYNTHESIS,Summarize the completed evidence chain and repeated fresh H3 failure.,Do not extend the conclusion beyond the tested instantaneous online route.,
48,CONC-P02,5. Conclusions,c5b7ffa18b4645fa77f83fdde19905e03d982080e7e5c15bb680598868da21db,"Third, a spatial discretization defect may be numerically resolvable and exhibit systematic scaling without satisfying identifiability from the tested deployment-compatible instantaneous observables. Density rate provides the clearest empirical example because its systematic scaling survived tested disorder, while its fresh disagreement tail and oracle error did not satisfy the identifiability criteria.",06_manifests/ddo01br_manifest.json;06_manifests/ddo01cr_manifest.json;data/ddo02b_identifiability/ddo02b_formal_verdicts.json;06_manifests/ddo02z_final_status_ledger.json,9dee9a6e1894e8c1745749b159915f7adc5a422c7b612f447188ee0c01e9a875;44bc51a9835be9c3bd9cd2732a9f1b9aee28cbc98cb2ca3931b83ad70f584fef;6cbedb7c46bc4c3b622ef2601ee4631b9763976bb98dd414fc9dd6d33c88d87c;0f7c74b44575a3f744f31b1d2c7347d462dbfdfb381f47b0fb54087daddce54a,FROZEN_CORE_CONCLUSION,Use this sentence as the central manuscript statement.,Do not rewrite it as a claim that all SPH defects are unlearnable.,
49,CONC-P03,5. Conclusions,1e0b40bcaed39c5f68e3750a19bedb38678c407d0564b10fddb91907786409a0,"Fourth, the prospectively redesigned observables did not satisfy fresh identifiability criteria for density rate, pressure-gradient acceleration, or viscosity-Laplacian acceleration. Locality was therefore not interpreted because identifiability was its prerequisite. Fifth, no neural correction was trained, and no representation-learning or generalization claim was made. These conclusions apply only to the tested fixed-time instantaneous route and do not imply universal non-identifiability.",publication/final_hypothesis_ledger.csv;06_manifests/ddo02z_final_status_ledger.json,694841a5ff154ebaefa39207a526739eee619a8db6fb53d02447b92d92ba0743;0f7c74b44575a3f744f31b1d2c7347d462dbfdfb381f47b0fb54087daddce54a,FROZEN_TERMINAL_STATE,State the exact terminal and authorization vocabulary.,"Do not state that H4, H5, H6, neural SPH, GNNs, or Transformers failed.",
